KR11110,20,1.37,0,0
KR11140,24,1.64,0,0
KR11170,27,1.84,2,1.75
KR11200,45,3.07,1,0.88
KR11215,45,3.07,6,5.26
KR11230,41,2.8,3,2.63
KR11260,65,4.44,3,2.63
KR11290,59,4.03,8,7.02
KR11305,59,4.03,5,4.39
KR11320,42,2.87,8,7.02
KR11350,74,5.05,6,5.26
KR11380,55,3.75,6,5.26
KR11410,43,2.94,0,0
KR11440,45,3.07,2,1.75
KR11470,81,5.53,8,7.02
KR11500,90,6.14,16,14.04
KR11530,81,5.53,13,11.4
KR11545,30,2.05,1,0.88
KR11560,74,5.05,2,1.75
KR11590,57,3.89,4,3.51
KR11620,37,2.53,3,2.63
KR11650,69,4.71,3,2.63
KR11680,107,7.3,6,5.26
KR11710,136,9.28,4,3.51
KR11740,69,4.71,4,3.51
